,age,entId,eventContent,eventEndDate,eventEndTime,eventNm,eventStartDate,eventTime,fee,hoseInstitution,latitude,longitude,managementDept,note,phoneNum,place,rateInfo,roadNameAddress
10,초등학생 및학부모,420929,「우리를 행복하게 하는 책읽기의 즐거움」 채인선 작가와의 만남,2020-09-19,15:00,채인선 작가와의 만남,2020-09-19,13:30,,중앙도서관,35.5841904157,129.3672880294,중앙도서관,1일 특강,052-241-7407,중앙도서관 1층 세미나실,무료,울산광역시 북구 두부곡1길 9
11,초등전학년,420928,「펄러비즈로 만나보는  멸종동물 이야기」,2020-09-17,18:00,독서의 달 프로그램,2020-09-17,16:30,,중앙도서관,35.5841904157,129.3672880294,중앙도서관,1일 특강,052-241-7407,중앙도서관 1층 세미나실,무료,울산광역시 북구 두부곡1길 9
12,성인,420927,「코로나OUT내 손으로 필터마스크 만들기」,2020-09-15,12:00,독서의 달 프로그램,2020-09-15,10:00,,중앙도서관,35.5841904157,129.3672880294,중앙도서관,1일 특강,052-241-7407,중앙도서관 1층 세미나실,무료,울산광역시 북구 두부곡1길 9
13,성인,420926,북구의 책「나도 선량한 차별주의자일까?」,2020-09-03,12:00,독서의 달 프로그램,2020-09-03,10:00,,중앙도서관,35.5841904157,129.3672880294,중앙도서관,1일 특강,052-241-7407,중앙도서관 1층 세미나실,무료,울산광역시 북구 두부곡1길 9
14,아동,420925,나 혼자 한다 : 1인용 보드게임&퍼즐,2020-09-26,12:00,여름학기 교육문화프로그램,2020-07-25,10:30,재료비 1만 2천원,중앙도서관,35.5841904157,129.3672880294,중앙도서관,매주 토,052-241-7407,중앙도서관 1층 세미나실,유료,울산광역시 북구 두부곡1길 9
15,아동,420924,책 더하기 미술,2020-09-26,16:00,여름학기 교육문화프로그램,2020-07-25,14:30,재료비 2만원,중앙도서관,35.5841904157,129.3672880294,중앙도서관,매주 토,052-241-7407,중앙도서관 1층 세미나실,유료,울산광역시 북구 두부곡1길 9
16,성인,420923,어반스케치,2020-09-25,12:00,여름학기 교육문화프로그램,2020-07-24,10:00,수강료 무료 및 재료 준비 별도,중앙도서관,35.5841904157,129.3672880294,중앙도서관,매주 금,052-241-7407,중앙도서관 1층 세미나실,유료,울산광역시 북구 두부곡1길 9
17,아동,420922,(특강) 신비한 한국사 인물 사전,2020-09-24,17:20,여름학기 교육문화프로그램,2020-07-23,16:30,재료비 1만원,중앙도서관,35.5841904157,129.3672880294,중앙도서관,매주 목,052-241-7407,중앙도서관 1층 세미나실,유료,울산광역시 북구 두부곡1길 9
18,누구나,420921,포토존 & 원화전시 「기이한 DMZ 생태공원」,2020-09-29,18:00,독서의 달 프로그램,2020-09-01,09:00,,중앙도서관,35.5841904157,129.3672880294,중앙도서관,,052-241-7407,중앙도서관 1층 로비,무료,울산광역시 북구 두부곡1길 9
19,누구나,420920,북큐레이션 「Save Together」,2020-09-29,18:00,독서의 달 프로그램,2020-09-01,09:00,,중앙도서관,35.5841904157,129.3672880294,중앙도서관,,052-241-7407,중앙도서관 1층 로비,무료,울산광역시 북구 두부곡1길 9
20,누구나,420919,업사이클링 체험「무엇이든 책갈피로 만들어드립니다」,2020-09-29,18:00,독서의 달 프로그램,2020-09-01,09:00,,중앙도서관,35.5841904157,129.3672880294,중앙도서관,2020-09-23 추첨,052-241-7412,중앙도서관 1층 로비,무료,울산광역시 북구 두부곡1길 9
21,누구나,420918,과년호 잡지 나눔 행사,2020-09-19,18:00,독서의 달 프로그램,2020-09-19,10:00,,중앙도서관,35.5841904157,129.3672880294,중앙도서관,2020-09-23 추첨,052-241-7412,중앙도서관 1층 로비,무료,울산광역시 북구 두부곡1길 9
22,지역주민,420917,감상평 쓰기,2020-09-27,18:00,한줄 감상평 책나무,2020-09-06,09:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,독서의달 행사,052-210-6534,중부도서관종합자료실,무료,울산광역시 중구 시계탑거리 38
23,지역주민,420916,올해의 책 1권 추가 대출,2020-09-27,18:00,올해의 책5+1 대출이벤트,2020-09-06,09:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,독서의달 행사,052-210-6534,중부도서관종합자료실,무료,울산광역시 중구 시계탑거리 38
24,지역주민,420915,당일 10번째 대출자에게 기념품 증정,2020-09-27,18:00,대출하 GO 선물받 GO,2020-09-06,09:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,독서의달 행사,052-210-6534,중부도서관종합자료실,무료,울산광역시 중구 시계탑거리 38
25,영유아,420914,연령별 도서 배부,2020-12-31,18:00,북스타트,2020-09-06,09:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,도서 소진시까지,052-210-6537,중부도서관어린이자료실,무료,울산광역시 중구 시계탑거리 38
26,,420913,연령별 도서 배부,2020-12-31,18:00,북스타트,2020-05-01,09:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,,052-210-6537,중부도서관어린이자료실,무료,울산광역시 중구 시계탑거리 38
27,시니어,420912,미술,2020-11-27,12:00,시니어 미술교실,2020-09-11,10:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,매주 금,052-210-6550,중부도서관강좌실,무료,울산광역시 중구 시계탑거리 38
28,성인,420911,타로카드,2020-11-18,12:00,타로카드 비밀의 문,2020-09-09,10:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,매주 수,052-2010-6550,중부도서관강좌실,무료,울산광역시 중구 시계탑거리 38
29,성인,420910,영어회화,2020-11-10,12:00,생초보 영어회화,2020-09-08,10:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,매주 화,052-2010-6550,중부도서관강좌실,무료,울산광역시 중구 시계탑거리 38
30,학생 및 일반인,420909,세계 명소를 배경으로 한 영화 상영,2020-09-27,16:00,중부도서관과 함께 시네마 세계 여행,2020-09-06,14:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,매주 일요일,052-210-6540,중부도서관강좌실,무료,울산광역시 중구 시계탑거리 38
31,성인,420908,초등학력인정 문해교육,2020-12-31,16:00,글사랑학교,2020-06-09,14:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,매주 화 수 목 금,052-210-6550,중부도서관강좌실,무료,울산광역시 중구 시계탑거리 38
32,,420907,동화요리,2020-09-05,16:30,동화로 배우는 다문화요리 교실,2020-07-04,14:30,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,,052-210-6550,중부도서관강좌실,무료,울산광역시 중구 시계탑거리 38
33,,420906,초등학력인정 문해교육,2020-12-31,16:00,글사랑학교,2020-06-09,14:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,,052-210-6550,중부도서관강좌실,무료,울산광역시 중구 시계탑거리 38
34,,420905,원화 전시,2020-12-31,18:00,원화전시회,2020-05-01,09:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,,052-210-6538,중부도서관2층 갤러리,무료,울산광역시 중구 시계탑거리 38
35,영유아,420904,색동회 동화구연,2020-09-23,11:00,동화구연,2020-09-23,10:30,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,매월 마지막주 수,052-210-6537,중부도서관 영유아자료실,무료,울산광역시 중구 시계탑거리 38
36,초등학생,420903,주제도서 읽고 문제풀기 정답자 추첨하여 시상,2020-09-30,18:00,독서퀴즈,2020-09-08,09:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,매월,052-210-6538,중부도서관 영유아자료실,무료,울산광역시 중구 시계탑거리 38
37,,420902,영어그림책 읽어 주기,2020-12-31,13:00,하하호호 언니 오빠와 함께 영어그림책 읽기,2020-05-01,11:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,,052-210-6538,중부도서관 영유아자료실,무료,울산광역시 중구 시계탑거리 38
38,,420901,영어그림책 읽어 주기,2020-12-31,15:00,애니메이션으로 배우는 톡톡(Talk-Talk)영어,2020-05-01,13:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,,052-210-6538,중부도서관 영유아자료실,무료,울산광역시 중구 시계탑거리 38
39,,420900,"책 읽어주기, 색칠공부",2020-12-31,16:00,북도란,2020-05-01,13:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,,052-210-6538,중부도서관 영유아자료실,무료,울산광역시 중구 시계탑거리 38
40,,420899,색동회 동화구연,2020-12-31,11:00,동화구연,2020-05-01,10:30,,울산남부도서관,35.55359511,129.3215056,울산남부도서관,,052-259-7576,중부도서관 영유아자료실,무료,울산광역시 중구 시계탑거리 38
41,,420898,주제도서 읽고 문제풀기 정답자 추첨하여 시상,2020-12-31,18:00,독서퀴즈,2020-05-01,09:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,,052-210-6538,중부도서관 영유아자료실,무료,울산광역시 중구 시계탑거리 38
42,장애인,420897,장애인 독서회,2020-09-26,17:00,나눔독서회,2020-09-26,15:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,넷째주 토,052-210-6535,중부도서관 독서문화실,무료,울산광역시 중구 시계탑거리 38
43,중학생,420896,중학생 독서회,2020-09-26,17:00,글나래중학생독서회,2020-09-26,15:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,첫째주 토,052-210-6537,중부도서관 독서문화실,무료,울산광역시 중구 시계탑거리 38
44,초등학생,420895,초등 저학년 독서회,2020-09-26,13:00,별누리어린이독서회,2020-09-26,11:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,첫째주 토,052-210-6538,중부도서관 독서문화실,무료,울산광역시 중구 시계탑거리 38
45,어르신,420894,어르신 독서회,2020-09-23,16:00,은빛독서회,2020-09-23,14:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,매월,052-210-6534,중부도서관 독서문화실,무료,울산광역시 중구 시계탑거리 38
46,고등학생,420893,고등학생 독서회,2020-09-19,12:00,산울림고등학생독서회,2020-09-19,10:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,셋째주 토,052-210-6537,중부도서관 독서문화실,무료,울산광역시 중구 시계탑거리 38
47,초등학생,420892,초등 고학년 독서회,2020-09-12,16:00,은하수어린이독서회,2020-09-12,14:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,둘째주 토,052-210-6538,중부도서관 독서문화실,무료,울산광역시 중구 시계탑거리 38
48,독서회회원,420891,독서회를 토론독서회,2020-09-26,15:00,도서관주관 독서의달<리빙&토론독서회>,2020-09-12,10:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,독서의달 행사,052-210-6539,중부도서관 독서문화실,무료,울산광역시 중구 시계탑거리 38
49,시장 상인,420890,시장상인들 대상으로 도서대출반납서비스,2020-09-17,17:00,도심 내 전통시장 책수레 책나눔,2020-09-10,14:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,첫째 셋째 목,052-210-6534,중부도서관 독서문화실,무료,울산광역시 중구 시계탑거리 38
50,,420889,초등 고학년 독서회,2020-12-31,16:00,은하수어린이독서회,2020-05-01,14:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,,052-210-6538,중부도서관 독서문화실,무료,울산광역시 중구 시계탑거리 38
51,,420888,어르신 독서회,2020-12-02,16:00,은빛독서회,2020-05-27,14:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,,052-210-6534,중부도서관 독서문화실,무료,울산광역시 중구 시계탑거리 38
52,,420887,고등학생 독서회,2020-12-31,12:00,산울림고등학생독서회,2020-05-01,10:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,,052-210-6537,중부도서관 독서문화실,무료,울산광역시 중구 시계탑거리 38
53,,420886,초등 저학년 독서회,2020-12-31,13:00,별누리어린이독서회,2020-05-01,11:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,,052-210-6538,중부도서관 독서문화실,무료,울산광역시 중구 시계탑거리 38
54,,420885,성인 독서회,2020-12-10,12:30,디딤돌독서회,2020-05-21,10:30,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,,052-210-6522,중부도서관 독서문화실,무료,울산광역시 중구 시계탑거리 38
55,,420884,시장상인들 대상으로 도서대출반납서비스,2020-12-17,17:00,도심 내 전통시장 책수레 책나눔,2020-05-21,14:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,,052-210-6534,중부도서관 독서문화실,무료,울산광역시 중구 시계탑거리 38
56,,420883,장애인 독서회,2020-12-12,17:00,나눔독서회,2020-05-23,15:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,,052-210-6535,중부도서관 독서문화실,무료,울산광역시 중구 시계탑거리 38
57,,420882,중학생 독서회,2020-12-31,17:00,글나래중학생독서회,2020-05-01,15:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,,052-210-6537,중부도서관 독서문화실,무료,울산광역시 중구 시계탑거리 38
58,초등3~6학년,420881,3D 펜,2020-11-28,11:00,나도 3D 메이커,2020-09-19,10:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,매주 토,052-2010-6550,중부도서관 강좌실,무료,울산광역시 중구 시계탑거리 38
59,초등1~2학년,420880,동화요리,2020-11-28,15:30,요리쿡 조리쿡 동화요리,2020-09-19,14:30,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,매주 토,052-2010-6550,중부도서관 강좌실,무료,울산광역시 중구 시계탑거리 38
60,유아6~7세,420879,영어동요,2020-11-28,14:00,룰루랄라 영어 놀이터,2020-09-19,13:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,매주 토,052-2010-6550,중부도서관 강좌실,무료,울산광역시 중구 시계탑거리 38
61,성인,420878,스마트폰 활용,2020-10-15,12:00,스마트폰으로 스마트하게 사는 법,2020-09-10,10:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,매주 목,052-210-6550,중부도서관 강좌실,무료,울산광역시 중구 시계탑거리 38
62,지역주민,420877,도서전시,2020-10-01,19:00,도서관주관및 독서의달<책속에서 건강챙기기>,2020-09-08,10:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,독서의달 행사,052-210-6537,중부도서관 3층 로비,무료,울산광역시 중구 시계탑거리 38
63,도서관 이용자,420876,원화 전시,2020-09-24,17:00,도서관주관 독서의달<원화전시회>,2020-09-08,14:00,,울산중부도서관,35.55359511,129.3215056,울산중부도서관,매월,052-210-6538,중부도서관 2층 갤러리,무료,울산광역시 중구 시계탑거리 38
64,,420875,"버스킹, 캐리커쳐",2020-12-31,17:00,원도심 오색문화아트,2020-05-09,13:00,,울산광역시 중구,35.55645546,129.3215788,울산광역시 중구,,052-290-3665,중구 문화의거리,무료,
65,,420874,"버스킹, 캐리커쳐",2020-12-31,17:00,원도심 오색문화아트,2020-05-09,13:00,,울산광역시 중구,35.55645546,129.3215788,울산광역시 중구,,052-290-3665,중구 문화의거리,무료,
66,,420873,반구대암각화고래목걸이 만들기,2020-12-31,15:30,2020년 8월 고래박물관 문화가 있는 날,2020-08-05,13:00,,남구도시관리공단(장생포고래박물관),35.502738,129.380788,남구도시관리공단(장생포고래박물관),,052-226-1932,장생포고래박물관2층 어린이체험실,무료,울산광역시 남구 장생포고래로 244
67,,420872,2020년도 특별전시,2021-02-28,18:00,"고래, 빛과 어우러지다",2020-06-23,09:00,,남구도시관리공단(장생포고래박물관),35.502738,129.380788,남구도시관리공단(장생포고래박물관),,052-256-6301,장생포고래박물관1층 기획전시실,무료,울산광역시 남구 장생포고래로 244
68,,420871,도호부사 행차 재현,2020-12-25,16:00,2020 울산도호부사 행차 재현,2020-08-01,14:00,,울산중구문화원,35.54290013,129.3270779,울산중구문화원,,052-244-2007,원도심 일원,무료,
69,,420870,도호부사 행차 재현,2020-12-25,16:00,2020 울산도호부사 행차 재현,2020-08-01,14:00,,울산중구문화원,35.54290013,129.3270779,울산중구문화원,,052-244-2007,원도심 일원,무료,
70,영유아,420869,사서가 선정한 그림책 읽어주기,2020-09-16,11:30,사서와 함께 책읽기,2020-09-16,11:00,,울주도서관,35.55843682,129.1377317,울주도서관,매월 세번째 수요일,052-255-8164,울주도서관영유아실,무료,울산광역시 울주군 언양읍 언양로 109
71,6~7세,420868,북스타트 후속 프로그램,2020-11-21,10:50,영어동화와 함께하는 story talk talk,2020-09-12,10:00,,울주도서관,35.55843682,129.1377317,울주도서관,매주 토요일,052-255-8164,울주도서관영유아실,무료,울산광역시 울주군 언양읍 언양로 109
72,도서관이용자,420867,"인문학분야 추천도서, 대출베스트 도서 목록 배부",2020-09-29,18:00,추천도서&대출베스트 목록 배부,2020-09-08,09:00,,울주도서관,35.55843682,129.1377317,울주도서관,9.8.(화)~9.29.(화),052-255-8163,울주도서관 종합자료실,무료,울산광역시 울주군 언양읍 언양로 109
73,삼남초,420866,도서 재기증,2020-09-29,15:30,행복한 책나눔,2020-09-29,15:00,,울주도서관,35.55843682,129.1377317,울주도서관,9.29.(화),052-255-8150,울주도서관 정보자료과,무료,울산광역시 울주군 언양읍 언양로 109
74,영유아,420865,색동회 동화구연,2020-09-23,11:00,재미팡팡 동화구연,2020-09-23,10:30,,울주도서관,35.55843682,129.1377317,울주도서관,매월 마지막주 수요일,052-255-8165,울주도서관 영유아실,무료,울산광역시 울주군 언양읍 언양로 109
75,30개월~5세+부모,420864,북스타트 후속 프로그램,2020-11-19,17:20,음악놀이~ 리틀 모짜르트를 위하여,2020-09-10,16:30,,울주도서관,35.55843682,129.1377317,울주도서관,매주 목요일,052-255-8164,울주도서관 영유아실,무료,울산광역시 울주군 언양읍 언양로 109
76,도서관이용자,420863,올해의 책을 대출권수 외 추가로 대출,2020-09-29,18:00,올해의 책 대출 한권 더,2020-09-08,09:00,,울주도서관,35.55843682,129.1377317,울주도서관,9.8.(화)~-9.29.(화),052-255-8160,"울주도서관 어린이실,문학실",무료,울산광역시 울주군 언양읍 언양로 109
77,도서관이용자,420862,자동대출반납기 확인증 추첨하여 경품 추천,2020-09-29,18:00,확인증으로 행운을 잡아라,2020-09-08,09:00,,울주도서관,35.55843682,129.1377317,울주도서관,9.8.(화)~9.29.(화),052-2558-8163,"울주도서관 어린이실, 문학실, 종합실",무료,울산광역시 울주군 언양읍 언양로 109
78,초등학생,420861,책 내용과 관련된 퀴즈풀기,2020-09-26,18:00,동화 보GO  퀴즈 풀GO,2020-09-18,09:00,,울주도서관,35.55843682,129.1377317,울주도서관,9.18(화)~9.26.(토),052-255-8164,울주도서관 어린이실,무료,울산광역시 울주군 언양읍 언양로 109
79,전체관람,420860,잃어버린 세계를 찾아서,2020-09-26,16:00,9월 영화상영,2020-09-26,14:00,,울주도서관,35.55843682,129.1377317,울주도서관,매주 토요일,052-255-8166,울주도서관 별관3층 시청각실,무료,울산광역시 울주군 언양읍 언양로 109
80,전체관람,420859,양말요정 휴고의 대모험,2020-09-19,16:00,9월 영화상영,2020-09-19,14:00,,울주도서관,35.55843682,129.1377317,울주도서관,매주 토요일,052-255-8166,울주도서관 별관3층 시청각실,무료,울산광역시 울주군 언양읍 언양로 109
81,초등3-5,420858,2020. 꿈다락 토요문화 학교,2020-10-31,17:00,어서와 조선은 처음이지?,2020-06-13,14:00,,"울주도서관,울산예술교육연극연구소",35.55843682,129.1377317,"울주도서관,울산예술교육연극연구소",매주 토.일요일,052-255-8172,울주도서관 별관3층 시청각실,무료,울산광역시 울주군 언양읍 언양로 109
82,,420857,2020. 꿈다락 토요문화 학교,2020-10-31,17:00,어서와 조선은 처음이지?,2020-06-13,14:00,,"울주도서관,울산예술교육연극연구소",35.55843682,129.1377317,"울주도서관,울산예술교육연극연구소",,052-255-8172,울주도서관 별관3층 시청각실,무료,울산광역시 울주군 언양읍 언양로 109
83,,420856,2020. 꿈다락 토요문화 학교,2020-10-31,17:00,어서와 조선은 처음이지?,2020-05-16,14:00,,"울주도서관,울산예술교육연극연구소",35.55843682,129.1377317,"울주도서관,울산예술교육연극연구소",,052-255-8172,울주도서관 별관3층 글나래교실,무료,울산광역시 울주군 언양읍 언양로 109
84,성인,420855,책 읽고 독서토론,2020-09-24,12:00,자운영 성인독서회,2020-09-24,10:00,,울주도서관,35.55843682,129.1377317,울주도서관,매월 마지막주 목요일,052-255-8163,울주도서관 별관2층 글나래교실,무료,울산광역시 울주군 언양읍 언양로 109
85,지역주민,420854,2020. 도서관 지혜학교,2020-11-27,17:00,시로 표현하는 내 삶의 지혜,2020-09-11,15:00,,울주도서관,35.55843682,129.1377317,울주도서관,9.11.(금)~11.27.(금),052-255-8171,울주도서관 별관2층 글나래교실,무료,울산광역시 울주군 언양읍 언양로 109
86,도서관이용자,420853,오행시 우수작10편 시상,2020-09-25,18:00,도서관 산책 오행시 공모,2020-09-08,09:00,,울주도서관,35.55843682,129.1377317,울주도서관,9.8.(화)~9.25.(금),052-255-8160,울주도서관 문학자료실,무료,울산광역시 울주군 언양읍 언양로 109
87,도서관이용자,420852,"문학분야 미대출도서 전시, 대출",2020-09-25,18:00,"잠자는 책, 첫 독자를 만나다",2020-09-08,09:00,,울주도서관,35.55843682,129.1377317,울주도서관,9.8.(화)~9.25.(금),052-255-8160,울주도서관 문학자료실,무료,울산광역시 울주군 언양읍 언양로 109
88,중학생,420851,책 읽고 독서토론,2020-09-26,16:00,책사랑 중학생 독서회,2020-09-26,14:00,,울주도서관,35.55843682,129.1377317,울주도서관,매월 네번째 토요일,052-255-8160,울주도서관 다목적실,무료,울산광역시 울주군 언양읍 언양로 109
89,다독자,420850,1년간 도서를 가장 많이 대출한 회원 시상,2020-09-19,12:00,다독자 시상,2020-09-19,10:30,,울주도서관,35.55843682,129.1377317,울주도서관,9.19.(토),052-255-8160,울주도서관 다목적실,무료,울산광역시 울주군 언양읍 언양로 109
90,초등생,420849,작은나라어린이독서회,2020-09-19,16:00,작은나라어린이독서회,2020-09-19,14:00,,울주도서관,35.55843682,129.1377317,울주도서관,매월 세째주 토요일,052-255-8164,울주도서관 다목적실,무료,울산광역시 울주군 언양읍 언양로 109
91,지역주민,420848,책 두 배로(10권) 대출,2020-09-23,18:00,두 배로 데이,2020-09-23,09:00,도서5권대출 →10권확대,울주도서관,35.55843682,129.1377317,울주도서관,매월 마지막주 수요일,052-255-8162,울주도서관 각 자료실,무료,울산광역시 울주군 언양읍 언양로 109
92,지역주민,420847,원화 액자 전시,2020-09-13,18:00,책 속 그림 전시회,2020-09-08,09:00,,울주도서관,35.55843682,129.1377317,울주도서관,마감 시 조기 종료,052-255-8163,울주도서관 3층 갤러리,무료,울산광역시 울주군 언양읍 언양로 109
93,초등1~3학년+학부모,420846,천연이끼와 자연물로 작품 만들기,2020-09-26,12:00,도서관에서 놀자,2020-09-26,10:00,,울주도서관,35.55843682,129.1377317,울주도서관,9.26.(토),052-255-8162,울주도서관 3층 갤러리,무료,울산광역시 울주군 언양읍 언양로 109
94,지역주민,420845,2020. 평생교육강좌 수강생 작품 전시회,2020-09-29,18:00,자연 꽃을 담다,2020-09-17,09:00,,울주도서관,35.55843682,129.1377317,울주도서관,9.17.(수)~9.29.(화),052-855-8172,울주도서관 3층 갤러리,무료,울산광역시 울주군 언양읍 언양로 109
95,영유아,420844,지역의 저명인사 초청 책 읽어주기,2020-09-17,11:30,명사초청 책 읽어주세요,2020-09-17,11:00,,울주도서관,35.55843682,129.1377317,울주도서관,9.17.(목),052-255-8164,울주도서관 영유아실,무료,울산광역시 울주군 언양읍 언양로 109
96,전체관람,420843,몬스터 파크,2020-09-12,16:00,9월 영화상영,2020-09-12,14:00,무료관람,울주도서관,35.55843682,129.1377317,울주도서관,매주 토요일,052-255-8166,울주도서관 별관3층 시청각실,무료,울산광역시 울주군 언양읍 언양로 109
97,유아및어린이,420842,독서관련의 다양한 그림자 레이져쇼,2020-09-12,12:00,북매직 그림자 레이져쇼,2020-09-12,11:00,,울주도서관,35.55843682,129.1377317,울주도서관,9.12.(토),052-255-8164,울주도서관 별관3층 대회의실,무료,울산광역시 울주군 언양읍 언양로 109
98,지역주민,420841,청렴 주제도서 전시,2020-09-25,18:00,청렴도서 전시,2020-09-15,09:00,,울주도서관,35.55843682,129.1377317,울주도서관,9.15.(화)~9.25.(금),052-255-8162,울주도서관 2층 복도,무료,울산광역시 울주군 언양읍 언양로 109
99,,420840,"대중음악, 실용음악 강연회",2020-10-28,20:30,울산음악창작소 음악전문가 초청 강연회,2020-05-27,18:30,,울산광역시 중구,35.55656194,129.3198056,울산광역시 중구,,052-243-9181,울산음악창작소세미나실,무료,울산광역시 중구 중앙1길 16
100,,420839,"대중음악, 실용음악 강연회",2020-10-28,20:30,울산음악창작소 음악전문가 초청 강연회,2020-05-27,18:30,,울산광역시 중구,35.55656194,129.3198056,울산광역시 중구,,052-243-9181,울산음악창작소세미나실,무료,울산광역시 중구 중앙1길 16
