,eventNm,opar,eventCo,eventStartDate,eventEndDate,eventStartTime,eventEndTime,chrgeInfo,mnnst,auspcInstt,phoneNumber,suprtInstt,seatNumber,admfee,entncAge,dscntInfo,atpn,homepageUrl,advantkInfo,prkplceYn,rdnmadr,lnmadr,latitude,longitude,referenceDate,insttCode
10,연극 AND BAND,고운홀,연극,2020-11-28,2020-11-28,16:00 19:00,17:00 20:0,무료,황희영,시민극단 몸투레,051-749-7664,,130,무료,7세이상,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
11,음악으로 보는 명화 이야기,고운홀,클래식 연주회,2020-11-30,2020-11-30,19:00,21:00,무료,이지선,이지선,051-749-7664,,130,무료,전체관람,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
12,베토벤 피아노삼중주 전곡 기획연주 시리즈2,고운홀,피아노 연주회,2020-12-01,2020-12-01,19:30,21:00,무료,이혜성,부산피아노트리오,051-749-7664,,130,무료,9세이상,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
13,제6회 정기 연주회,고운홀,클래식 연주회,2020-12-03,2020-12-03,19:30,21:00,무료,정창영,클라속으로,051-749-7664,,130,무료,10세이상,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
14,10대들을 위한 진로토크콘서트,고운홀,행사,2020-12-09,2020-12-09,18:00,22:00,무료,윤승혜,더공감협동조합,051-749-7664,,130,무료,15세이상,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
15,10대들을 위한 진로토크콘서트,고운홀,행사,2020-12-10,2020-12-10,9:00,11:00,무료,윤승혜,더공감협동조합,051-749-7664,,130,무료,15세이상,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
16,예하색소폰 앙상블 정기연주회,고운홀,색소폰 연주회,2020-12-17,2020-12-17,14:00,16:00,무료,김재범,예하색소폰 앙상블,051-749-7664,,130,무료,전체관람,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
17,영어연극 및 공연,고운홀,연극,2020-12-18,2020-12-18,14:00,15:30,무료,주선영,기장한국영재교육개발원,051-749-7664,,130,무료,30세이상,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
18,해운대혼성 합창단 정기연주회,고운홀,합창,2020-12-22,2020-12-22,19:30,20:30,무료,정창영,해운대혼성 합창단,051-749-7664,,130,무료,10세이상,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
19,가야금 앙상블 “280”,예악당,전통예술원 가야금앙상블 “280” 10주년 기념연주회,2017-03-10,2017-03-10,19:00,20:30,무료,국립국악원,가야금 앙상블 “280”,02-580-3300,,722,,취학아동이상,,,www.gugak.go.kr,www.gugak.go.kr,Y,서울특별시 서초구 남부순환로 2364,서울특별시 서초구 서초동 700,37.47771836,127.0098178,2020-08-26,1371034
20,금요공감-두번째달 국악 프로젝트,우면당,금요공감,2017-03-10,2017-11-24,20:00,21:30,유료,국립국악원,국립국악원,02-580-3300,,375,A석:20000원 B석:10000원,취학아동이상,,,www.gugak.go.kr,www.gugak.go.kr,Y,서울특별시 서초구 남부순환로 2364,서울특별시 서초구 서초동 700,37.47771836,127.0098178,2020-08-26,1371034
21,금요공감-기시(旣視)적 충돌(안덕기),우면당,금요공감,2017-03-10,2017-11-24,20:00,21:30,유료,국립국악원,국립국악원,02-580-3300,,375,A석:20000원 B석:10000원,취학아동이상,,,www.gugak.go.kr,www.gugak.go.kr,Y,서울특별시 서초구 남부순환로 2364,서울특별시 서초구 서초동 700,37.47771836,127.0098178,2020-08-26,1371034
22,신준식 도자개인전,제1전시실,전시,2020-10-05,2020-10-11,9:00,20:00,무료,신준식,신준식,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
23,금요공감-김준영의 거문고-Broaden(부러  든),우면당,금요공감,2017-03-10,2017-11-24,20:00,21:30,유료,국립국악원,국립국악원,02-580-3300,,375,A석:20000원 B석:10000원,취학아동이상,,,www.gugak.go.kr,www.gugak.go.kr,Y,서울특별시 서초구 남부순환로 2364,서울특별시 서초구 서초동 700,37.47771836,127.0098178,2020-08-26,1371034
24,금요공감 - 재즈 쿼텟과 함께하는 원완철의 ‘색다른 대금 이야기’,우면당,금요공감,2017-03-10,2017-11-24,20:00,21:30,유료,국립국악원,국립국악원,02-580-3300,,375,A석:20000원 B석:10000원,취학아동이상,,,www.gugak.go.kr,www.gugak.go.kr,Y,서울특별시 서초구 남부순환로 2364,서울특별시 서초구 서초동 700,37.47771836,127.0098178,2020-08-26,1371034
25,제22회 전국 신인 正歌.樂발표회 '미래를 열어갈 젊은 신인들의 무대',예악당,제22회 전국 신인 正歌.樂발표회 '미래를 열어갈 젊은 신인들의 무대',2017-03-11,2017-03-11,17:00,18:30,무료,국립국악원,(재)월하문화재단,02-764-1778,,722,,취학아동이상,,,www.gugak.go.kr,www.gugak.go.kr,Y,서울특별시 서초구 남부순환로 2364,서울특별시 서초구 서초동 700,37.47771836,127.0098178,2020-08-26,1371034
26,이자연의 해금산조,풍류사랑방,이자연의 해금산조,2017-03-12,2017-03-12,17:00,18:00,무료,국립국악원,이자연,02-580-3300,,140,,취학아동이상,,,www.gugak.go.kr,www.gugak.go.kr,Y,서울특별시 서초구 남부순환로 2364,서울특별시 서초구 서초동 700,37.47771836,127.0098178,2020-08-26,1371034
27,한국거문고앙상블 제10회 정기연주회 -금세계-,예악당,한국거문고앙상블 제10회 정기연주회 -금세계-,2017-03-12,2017-03-12,17:00,18:00,무료,국립국악원,한국거문고앙상블,02-580-3300,,722,,취학아동이상,,,www.gugak.go.kr,www.gugak.go.kr,Y,서울특별시 서초구 남부순환로 2364,서울특별시 서초구 서초동 700,37.47771836,127.0098178,2020-08-26,1371034
28,판소리 수궁가 완창발표회,풍류사랑방,판소리 수궁가 완창발표회,2017-03-14,2017-03-14,19:00,21:00,무료,국립국악원,전은령,02-580-3300,,140,,취학아동이상,,,www.gugak.go.kr,www.gugak.go.kr,Y,서울특별시 서초구 남부순환로 2364,서울특별시 서초구 서초동 700,37.47771836,127.0098178,2020-08-26,1371034
29,2017 전통음악연주회,우면당,2017 전통음악연주회,2017-03-15,2017-03-15,19:30,21:00,무료,국립국악원,정농악회,02-580-3300,,375,,취학아동이상,,,www.gugak.go.kr,www.gugak.go.kr,Y,서울특별시 서초구 남부순환로 2364,서울특별시 서초구 서초동 700,37.47771836,127.0098178,2020-08-26,1371034
30,산조  소리로 물들다,풍류사랑방,산조  소리로 물들다,2017-03-19,2017-03-19,17:00,18:00,무료,국립국악원,김문주,02-580-3300,,140,,취학아동이상,,,www.gugak.go.kr,www.gugak.go.kr,Y,서울특별시 서초구 남부순환로 2364,서울특별시 서초구 서초동 700,37.47771836,127.0098178,2020-08-26,1371034
31,고령군립가야금 연주단 순회공연(서울),우면당,고령군립가야금 연주단 순회공연(서울),2017-03-21,2017-03-21,19:30,20:30,무료,국립국악원,고령군립가야금연주단,02-580-3300,,375,,취학아동이상,,,www.gugak.go.kr,www.gugak.go.kr,Y,서울특별시 서초구 남부순환로 2364,서울특별시 서초구 서초동 700,37.47771836,127.0098178,2020-08-26,1371034
32,제60회 허니데이 사랑한마당,예악당,제60회 허니데이 사랑한마당,2017-03-21,2017-03-21,19:30,21:00,무료,국립국악원,락음국악단,02-580-3300,,722,,취학아동이상,,,www.gugak.go.kr,www.gugak.go.kr,Y,서울특별시 서초구 남부순환로 2364,서울특별시 서초구 서초동 700,37.47771836,127.0098178,2020-08-26,1371034
33,2016 피리정악 및 대취타 보존회 정기연주,예악당,2016 피리정악 및 대취타보존회 정기연주,2017-03-22,2017-03-22,20:00,21:30,무료,국립국악원,피리정악 및 대취타 보존회,02-580-3300,,722,,취학아동이상,,,www.gugak.go.kr,www.gugak.go.kr,Y,서울특별시 서초구 남부순환로 2364,서울특별시 서초구 서초동 700,37.47771836,127.0098178,2020-08-26,1371034
34,국악콘서트 다담: 오순경-복을 부르는 그림을 내 집안에,우면당,오전의 국악콘서트 ''다담茶談'',2017-03-29,2017-12-27,11:00,12:30,유료,국립국악원,국립국악원. 전통공연예술진흥재단,02-580-3300,궁중화장품 후,375,A석:10000원 B석:5000원,취학아동이상,,,www.gugak.go.kr,www.gugak.go.kr,Y,서울특별시 서초구 남부순환로 2364,서울특별시 서초구 서초동 700,37.47771836,127.0098178,2020-08-26,1371034
35,국악콘서트 다담: 송인수-사교육 걱정 없는 세상은 꼭 옵니다,우면당,오전의 국악콘서트 ''다담茶談'',2017-03-29,2017-12-27,11:00,12:30,유료,국립국악원,국립국악원. 전통공연예술진흥재단,02-580-3300,궁중화장품 후,375,A석:10000원 B석:5000원,취학아동이상,,,www.gugak.go.kr,www.gugak.go.kr,Y,서울특별시 서초구 남부순환로 2364,서울특별시 서초구 서초동 700,37.47771836,127.0098178,2020-08-26,1371034
36,바이올리니스트 박초연 렉쳐 콘서트,고운홀,바이올린 연주회,2020-12-26,2020-12-26,15:00,16:30,무료,박초연,박초연,051-749-7664,,130,무료,7세이상,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
37,김신준 피아노 독주회,고운홀,피아노 독주회,2020-12-31,2020-12-31,19:30,21:30,무료,김신준,JM예술기획,051-749-7664,,130,무료,8세이상,홈페이지 참조,음식물 반입 및 공연 중 사진 촬영 금지,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-12-02,3330000
38,오렌지미술,제1전시실,전시,2020-01-09,2020-01-12,9:00,20:00,무료,백합,백합,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
39,초록미술 전시,제1전시실,전시,2020-01-19,2020-01-19,9:00,20:00,무료,이은진,이은진,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
40,꽃피는 봄이오면 사진전,제1전시실,전시,2020-06-19,2020-06-25,9:00,20:00,무료,이계영,이계영,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
41,Arttree,제1전시실,전시,2020-06-26,2020-06-28,9:00,20:00,무료,고하라,고하라,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
42,윤창미 개인전,제1전시실,전시,2020-07-02,2020-07-05,9:00,20:00,무료,윤창미,윤창미,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
43,해바라기꽃(김애경),제1전시실,전시,2020-07-06,2020-07-09,9:00,20:00,무료,김애경,김애경,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
44,해운대구상회 정기전,제1전시실,전시,2020-07-12,2020-07-18,9:00,20:00,무료,해운대구상회,해운대구상회,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
45,부산100경연수회,제1전시실,전시,2020-07-19,2020-07-25,9:00,20:00,무료,이외수,이외수,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
46,김애경 개인전,제1전시실,전시,2020-08-17,2020-08-20,9:00,20:00,무료,김애경,김애경,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
47,음악이 있는 수채화,제1전시실,전시,2020-10-12,2020-10-18,9:00,20:00,무료,김선영,김선영,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
48,해운대 사진가회 회원전,제1전시실,전시,2020-10-22,2020-10-26,9:00,20:00,무료,반재용,반재용,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
49,코리아아트,제1전시실,전시,2020-10-30,2020-11-01,9:00,20:00,무료,안희옥,안희옥,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
50,(사)부산섬유조형디자인협회 서른네번째전,제1전시실,전시,2020-11-03,2020-11-07,9:00,20:00,무료,박영혜,박영혜,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
51,생활문화예술제,제1전시실,전시,2020-11-08,2020-11-08,9:00,20:00,무료,서미자,서미자,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
52,해운대 예술사진 작가회전,제1전시실,전시,2020-11-09,2020-11-13,9:00,20:00,무료,이석진,이석진,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
53,조각과 그림의 만남,제1전시실,전시,2020-11-22,2020-11-25,9:00,20:00,무료,최미옥,최미옥,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
54,신라대 주얼리디자인학과 졸업전시회,제1전시실,전시,2020-11-26,2020-12-02,9:00,20:00,무료,이다혜,이다혜,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
55,이현순 자유전시,제1전시실,전시,2020-12-10,2020-12-13,9:00,20:00,무료,이현순,이현순,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
56,부산디자인협회전,제1전시실,전시,2020-12-14,2020-12-16,9:00,20:00,무료,이주영,이주영,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
57,연극시리즈,백조홀,연극,2020-12-04,2020-12-05,19:30,21:00,유료,안동문화예술의전당,안동문화예술의전당,054-840-3600,,276,2만원,5세이상,홈페이지 참조,기획,www.andongart.go.kr,www.andongart.go.kr,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-4,36.5594096,128.7250766,2020-06-19,5070000
58,박은정 개인전,제1전시실,전시,2020-12-17,2020-12-21,9:00,20:00,무료,박은정,박은정,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
59,한국민화 회원전,제1전시실,전시,2020-12-22,2020-12-31,9:00,20:00,무료,고향숙,고향숙,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
60,Eun`t Art,제2전시실,전시,2020-01-08,2020-01-08,9:00,20:00,무료,서은혜,서은혜,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
61,"최예나,김도훈,김도현개인전",제2전시실,전시,2020-02-07,2020-02-15,9:00,20:00,무료,서문지예,서문지예,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
62,이성화 개인전,제2전시실,전시,2020-07-10,2020-07-14,9:00,20:00,무료,이성화,이성화,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
63,4인4색여행스케치전,제2전시실,전시,2020-07-18,2020-07-25,9:00,20:00,무료,임창석,임창석,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
64,해운대 사진전,제2전시실,전시,2020-08-01,2020-08-09,9:00,20:00,무료,김동진,김동진,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
65,이미혜 개인전,제2전시실,전시,2020-08-10,2020-08-16,9:00,20:00,무료,이미혜,이미혜,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
66,제12회 창작미술인협회전,제2전시실,전시,2020-08-17,2020-08-20,9:00,20:00,무료,강문철,강문철,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
67,시월의 해운대 공감전,제2전시실,전시,2020-10-06,2020-10-11,9:00,20:00,무료,김현희,김현희,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
68,일상의 여유속으로,제2전시실,전시,2020-10-21,2020-10-26,9:00,20:00,무료,정현옥,정현옥,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
69,박영미 개인전,제2전시실,전시,2020-11-14,2020-11-20,9:00,20:00,무료,박영미,박영미,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
70,그림전시(김영나),제2전시실,전시,2020-11-28,2020-12-04,9:00,20:00,무료,김영나,김영나,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
71,남원준 작품전,제2전시실,전시,2020-12-07,2020-12-13,9:00,20:00,무료,남원준,남원준,051-749-7651,,,무료,,홈페이지 참조,,http://hcc.haeundae.go.kr,http://hcc.haeundae.go.kr,Y,부산광역시 해운대구 양운로 97,부산광역시 해운대구 좌동 1458-1,35.1711677,129.1739716,2020-10-21,3330000
