,rowNum,opnSfTeamCode,mgtNo,opnSvcId,updateGbn,updateDt,opnSvcNm,bplcNm,sitePostNo,siteWhlAddr,rdnPostNo,rdnWhlAddr,siteArea,apvPermYmd,apvCancelYmd,dcbYmd,clgStdt,clgEnddt,ropnYmd,trdStateGbn,trdStateNm,dtlStateGbn,dtlStateNm,x,y,lastModTs,uptaeNm,siteTel
21,1700,3720000,3720000-101-2021-00072,07_24_04_P,I,2021-04-11 00:22:58,일반음식점,목구멍울산화봉점,683805,울산광역시 북구 연암동 363-4 지상1층 ,44242,"울산광역시 북구 화봉로 72, 지상1층 (연암동)",,20210409,,,,,,01,영업\/정상,01,영업,414455.378804518    ,234588.346807121    ,20210409175659,한식,
22,1701,3720000,3720000-101-2021-00071,07_24_04_P,I,2021-04-11 00:22:58,일반음식점,매곡고두부,683420,울산광역시 북구 매곡동 616-6 지상1층 ,44223,"울산광역시 북구 괴정1길 128, 지상1층 (매곡동)",,20210409,,,,,,01,영업\/정상,01,영업,413503.284097367    ,240768.219258637    ,20210409171459,한식,
23,1768,3700000,CDFG1251002021000008,04_17_01_P,I,2021-04-11 00:22:58,출판사,포털미디어,,울산광역시 남구 신정동 508-2 신정나이스빌 ,44683,"울산광역시 남구 월평로 67, 신정나이스빌 801호 (신정동)",,20210409,,,,,,01,영업\/정상,13,영업중,409687.74824494     ,229433.896081319    ,20210409093539,,
24,1769,3700000,CDFG1251002021000007,04_17_01_P,I,2021-04-11 00:22:58,출판사,DO Media,,울산광역시 남구 신정동 1877 두산위브더제니스 ,44679,"울산광역시 남구 신정로203번길 61, 707호 (신정동, 두산위브더제니스)",,20210409,,,,,,01,영업\/정상,13,영업중,409416.625717632    ,230085.554369915    ,20210409093341,,1599-4686
25,1811,3700000,370000003720210010,02_03_06_P,I,2021-04-11 00:22:58,동물판매업,더꼼질,,울산광역시 남구 신정동 467-31 ,44679,"울산광역시 남구 팔등로61번길 23-1, 1층 (신정동)",0,20210409,,,,,,01,영업\/정상,0000,정상,409610.883029804    ,229991.461788589    ,20210409165305,,
26,1867,3690000,2021369015205600018,11_43_02_P,I,2021-04-11 00:22:58,담배소매업,이마트24 서동현대점,,울산광역시 중구 서동 34-2 서동현대아파트,44481,"울산광역시 중구 동천1길 31, 제상가동 1층 101호 (서동, 서동현대아파트)",,20210408,,,,,,01,영업\/정상,0,정상영업,412602.562976341    ,234036.229777467    ,20210409095915,,
27,1902,3690000,PHMG120213690018047000010,01_02_03_P,I,2021-04-11 00:22:58,의료기기판매(임대)업,가가이소,,울산광역시 중구 다운동 573-6,44408,"울산광역시 중구 구루미8길 34, 지하1층 (다운동)",,20210408,,,,,,01,영업\/정상,13,영업중,405765.071963723    ,231134.089168425    ,20210409101531,,070-8230-5633
28,1905,3690000,369000001120210001,02_03_02_P,I,2021-04-11 00:22:58,동물약국,다운약국,,울산광역시 중구 다운동 776-7 ,44402,울산광역시 중구 다운로 110 (다운동),0,20210408,,,,,,01,영업\/정상,0000,정상,405516.847277709    ,231599.428487598    ,20210409085459,,052-223-9457
29,2095,3700000,3700000-134-2021-00069,07_22_03_P,I,2021-04-11 00:22:58,건강기능식품일반판매업,위니딧,680831,울산광역시 남구 신정동 851-21 신정현대홈타운3단지아파트 ,44737,"울산광역시 남구 수암로129번길 25, 304동 604호 (신정동, 신정현대홈타운3단지아파트)",.00,20210406,,,,,,01,영업\/정상,01,영업,410552.188949809    ,228092.345169423    ,20210409111553,,
30,2106,3700000,3700000-104-2021-00075,07_24_05_P,U,2021-04-11 02:40:00,휴게음식점,트로이커피삼산중앙점,680805,울산광역시 남구 달동 1366-7 ,44707,"울산광역시 남구 왕생로62번길 21, 1-2층 (달동)",.00,20210406,,,,,,01,영업\/정상,01,영업,411621.734745723    ,229153.471191516    ,20210409142514,커피숍,
31,2231,3730000,2021373018616500001,07_22_16_P,U,2021-04-11 02:40:00,용기냉동기특정설비,(주)메츠,,울산광역시 울주군 청량읍 용암리 972 ,,,,20210330,,,,,,01,영업\/정상,01,영업중,411346.766079625    ,221937.811850113    ,20210409161022,,
32,2258,3690000,PHMA120213690018041100004,01_01_02_P,U,2021-04-11 02:40:00,의원,신용억신경과의원,,울산광역시 중구 남외동 441-2,44495,"울산광역시 중구 번영로 576, 6층 (남외동)",,20210326,,,,,,01,영업\/정상,13,영업중,412530.140920696    ,232386.101535762    ,20210409051313,의원,052-282-8555
33,2293,3700000,3700000-101-2021-00126,07_24_04_P,U,2021-04-11 02:40:00,일반음식점,책빵자크르,680845,울산광역시 남구 옥동 260-4 ,44662,"울산광역시 남구 대공원입구로9번길 24-11, 1층 (옥동)",81.54,20210324,,,,,,01,영업\/정상,01,영업,407737.679592505    ,228424.82131364     ,20210409143655,경양식,
34,2303,3700000,3700000-107-2021-00104,07_22_19_P,U,2021-04-11 02:40:00,즉석판매제조가공업,책빵자크르,680845,울산광역시 남구 옥동 260-4 ,44662,"울산광역시 남구 대공원입구로9번길 24-11, 1층 (옥동)",27.13,20210324,,,,,,01,영업\/정상,01,영업,407737.679592505    ,228424.82131364     ,20210409135235,즉석판매제조가공업,052 268 2008
35,2447,3720000,3720000-101-2021-00048,07_24_04_P,U,2021-04-11 02:40:00,일반음식점,호계밀면,683400,울산광역시 북구 호계동 1002-4 지상1층 ,44225,"울산광역시 북구 당수골15길 10, 지상1층 (호계동)",199.44,20210309,,,,,,01,영업\/정상,01,영업,,,20210409182946,한식,
36,2546,3710000,3710000-104-2021-00012,07_24_05_P,U,2021-04-11 02:40:00,휴게음식점,하나다방,682804,울산광역시 동구 방어동 380-33 ,44110,"울산광역시 동구 중진길 9, 2층 (방어동)",41.42,20210209,,,,,,01,영업\/정상,01,영업,419816.358927919    ,223285.991186618    ,20210409174747,다방,
37,2571,3690000,2021369015230200190,08_26_04_P,I,2021-04-11 00:22:58,통신판매업,히히부티크 HeeHee,,울산광역시 중구 성남동 219-119,44532,"울산광역시 중구 젊음의2거리 29, 203호 (성남동)",,20210202,,,,,,01,영업\/정상,01,정상영업,410295.02188959     ,230649.340614758    ,20210409152754,의류\/패션\/잡화\/뷰티,
38,2594,6310000,202163100000040002-20210122,11_49_01_P,U,2021-04-11 02:40:00,요양보호사교육기관,신언양요양보호사교육원,,울산광역시 울주군 언양읍 동부리 208-1,31710,"울산광역시 울주군 언양읍 동문길 58, 5층",,20210122,,,,,,01,영업\/정상,0,운영,392551.000904635    ,231661.198288414    ,20210409163037,,
39,2760,3690000,3690000-101-2020-00219,07_24_04_P,U,2021-04-11 02:40:00,일반음식점,도라스탐바얀,681812,울산광역시 중구 성남동 243-3 ,44532,"울산광역시 중구 먹자거리 21, 2층 (성남동)",164.44,20201104,,,,,,01,영업\/정상,01,영업,410350.754453855    ,230815.282406724    ,20210409133619,경양식,
40,2801,3700000,PHMA220203700018021200003,01_01_01_P,U,2021-04-11 02:40:00,병원,당당한방병원,,울산광역시 남구 달동 1365-4 마마파파엔베이비빌딩,44707,"울산광역시 남구 삼산로 247, 마마파파엔베이비빌딩 (달동)",,20200929,,,,,,01,영업\/정상,13,영업중,411689.05024600000  ,229411.83879300000  ,20210409091310,한방병원,052-702-7777
41,2817,3700000,CDFF2241022020000019,03_05_05_P,U,2021-04-11 02:40:00,인터넷컴퓨터게임시설제공업,엄지PC,,울산광역시 남구 달동 1269-6 1층 102호,44718,"울산광역시 남구 번영로124번길 18-1, 1층 102호 (달동)",,20200921,,,,,,01,영업\/정상,13,영업중,411310.263170096    ,228827.262422734    ,20210409162325,,
42,2961,3700000,3700000-101-2020-00220,07_24_04_P,U,2021-04-11 02:40:00,일반음식점,인생닭강정,680751,울산광역시 남구 달동 758-2 달동삼성아파트 ,44724,"울산광역시 남구 신정로 11, 달동삼성아파트 105동 101호 (달동)",.00,20200608,,,,,,01,영업\/정상,01,영업,410568.920931292    ,228390.494859375    ,20210409095337,분식,
43,3050,3720000,3720000-106-2020-00001,07_22_11_P,U,2021-04-11 02:40:00,식품제조가공업,정성담,683420,울산광역시 북구 매곡동 681 ,44224,"울산광역시 북구 매곡본길 24-6, 상가동 지상2층 205호 (매곡동)",49.50,20200326,,,,,,01,영업\/정상,01,영업,413497.645467995    ,240354.757091136    ,20210409150905,기타 식품제조가공업,052 2979901
44,3233,3730000,3730000-101-2019-00224,07_24_04_P,U,2021-04-11 02:40:00,일반음식점,(주)더엠가든,,울산광역시 울주군 삼남읍 신화리 1603-4 금아드림스퀘어 1001호,44951,"울산광역시 울주군 삼남읍 도호길 31, 금아드림스퀘어 10층 1001호","1,224.29",20191021,,,,,,01,영업\/정상,01,영업,393912.636754757    ,229756.405001904    ,20210409145409,뷔페식,052 291 5500
45,3277,3700000,PHMA120193700018041100008,01_01_02_P,U,2021-04-11 02:40:00,의원,울산바로치과의원,,울산광역시 남구 삼산동 1612번지 6호,44715,"울산광역시 남구 화합로 152, 3층 (삼산동)",,20190911,,,,,,01,영업\/정상,13,영업중,412166.222944931    ,229025.742971188    ,20210409011315,치과의원,052-998-2885
46,3323,3700000,3700000-104-2019-00209,07_24_05_P,U,2021-04-11 02:40:00,휴게음식점,모어라이크,680827,울산광역시 남구 신정동 1587-5 ,44650,"울산광역시 남구 거마로98번길 11, 1층 (신정동)",85.18,20190730,,,,,,01,영업\/정상,01,영업,408626.082013119    ,229084.11409755     ,20210409163948,커피숍,
47,3460,3700000,PHMA120193700018041100004,01_01_02_P,U,2021-04-11 02:40:00,의원,바른맥흉부외과의원,,울산광역시 남구 달동 1364번지 1호 울산 센트럴 자이,44707,"울산광역시 남구 삼산로 231, 울산 센트럴 자이 4층 411호 (달동)",,20190328,,,,,,01,영업\/정상,13,영업중,411486.617281887    ,229071.841685836    ,20210409011314,의원,052-267-7500
48,3488,3720000,CDFF2241132019000001,03_05_06_P,U,2021-04-11 02:40:00,일반게임제공업,신답게임장,,울산광역시 북구 상안동 355-14 ,44209,"울산광역시 북구 신답1길 9-12, 1층 (상안동)",,20190313,,,,,,01,영업\/정상,13,영업중,412397.191973808    ,239019.562253745    ,20210409143532,,
49,3520,3700000,3700000-101-2019-00064,07_24_04_P,U,2021-04-11 02:40:00,일반음식점,카츠맨커리,680805,울산광역시 남구 달동 1338-12 ,44703,"울산광역시 남구 왕생로89번길 5, 1층 102호 (달동)",26.10,20190219,,,,,,01,영업\/정상,01,영업,411167.782427861    ,229293.276522026    ,20210409152556,분식,052 2681321
50,3593,3700000,3700000-104-2018-00242,07_24_05_P,U,2021-04-11 02:40:00,휴게음식점,홍루이젠,680816,울산광역시 남구 삼산동 1571-3 ,44705,"울산광역시 남구 돋질로302번길 27, 1층 (삼산동)",23.59,20181129,,,,,,01,영업\/정상,01,영업,411927.448563461    ,229398.4983407      ,20210409154407,일반조리판매,
51,3724,3720000,3720000-215-2018-00004,05_18_01_P,U,2021-04-11 02:40:00,미용업,로뎀네일,683805,울산광역시 북구 연암동 355-16 지상1층 ,44244,"울산광역시 북구 화봉로 106, 지상1층 (연암동)",.00,20180601,,,,,,01,영업\/정상,01,영업,414506.27529799     ,234567.555773044    ,20210409134836,네일아트업,052 287 4177
52,3812,3700000,3700000-101-2018-00078,07_24_04_P,U,2021-04-11 02:40:00,일반음식점,부뚜막70센티(cm)파전,680805,울산광역시 남구 달동 1321-3 ,44701,"울산광역시 남구 삼산중로131번길 35-1, 1층 (달동)",75.69,20180313,,,,,,01,영업\/정상,01,영업,411401.686651304    ,229651.757450281    ,20210409160825,횟집,
53,3891,3710000,3710000-101-2017-00154,07_24_04_P,U,2021-04-11 02:40:00,일반음식점,1인용갈비찜,682803,울산광역시 동구 방어동 56-2 ,44059,"울산광역시 동구 등대로 14, 1층 102호 (방어동)",108.87,20171121,,,,,,01,영업\/정상,01,영업,419485.40390645     ,225040.147419322    ,20210409114529,기타,052 232 9289
54,3988,3720000,3720000-107-2017-00183,07_22_19_P,U,2021-04-11 02:40:00,즉석판매제조가공업,자연애마트(중산점),683450,"울산광역시 북구 중산동 1287-7 지상1층, 자연애마트 내 ",44213,"울산광역시 북구 중산동로 17, 지상1층 (중산동, 자연애마트)",20.40,20170803,,,,,,01,영업\/정상,01,영업,412902.394669279    ,241739.49215858     ,20210409151325,즉석판매제조가공업,052 2967775
55,4118,6310000,631000001200400051,09_30_08_P,U,2021-04-11 02:40:00,대기오염물질배출시설설치사업장,바스프컬러스앤이펙츠코리아(주),,울산광역시 남구 여천동  272-2번지,44781,울산광역시 남구 장생포로 196 (여천동),,20170116,,,,,,01,영업\/정상,01,영업,414357.454678786    ,226316.048544766    ,20210409181739,,0522290314
56,4140,3700000,CDFF2241022016000040,03_05_05_P,U,2021-04-11 02:40:00,인터넷컴퓨터게임시설제공업,행운PC,,울산광역시 남구 신정동 1232-13 1층 ,44730,"울산광역시 남구 수암로 17, 1층 (신정동)",,20161215,,,,,,01,영업\/정상,13,영업중,409467.797463461    ,228262.121547138    ,20210409162418,,
57,4200,3690000,3690000-104-2016-00104,07_24_05_P,U,2021-04-11 02:40:00,휴게음식점,(주)쿱스토어울산남외점,681800,울산광역시 중구 남외동 511-10 ,44495,"울산광역시 중구 남외3길 10, 1층 (남외동)",40.08,20160923,,,,,,01,영업\/정상,01,영업,413046.605867444    ,232055.392667177    ,20210409174232,일반조리판매,
58,4211,3700000,3700000-101-2016-00323,07_24_04_P,U,2021-04-11 02:40:00,일반음식점,123막창(삼산점),680815,울산광역시 남구 삼산동 1476-9 지상1층 ,44719,"울산광역시 남구 삼산로266번길 23, 지상1층 (삼산동)",126.72,20160901,,,,,,01,영업\/정상,01,영업,411877.053485053    ,228864.043880423    ,20210409153305,식육(숯불구이),052 227 8669
59,4282,3730000,3730000-101-2016-00120,07_24_04_P,U,2021-04-11 02:40:00,일반음식점,수산물직판장 구영점,689852,울산광역시 울주군 범서읍 구영리 374-17 ,44922,울산광역시 울주군 범서읍 대리1길 24-6,163.31,20160510,,,,,,01,영업\/정상,01,영업,403489.448834435    ,232270.605168484    ,20210409112054,횟집,052 211 6657
60,4353,3690000,3690000-101-2016-00024,07_24_04_P,U,2021-04-11 02:40:00,일반음식점,빈티큐,681300,울산광역시 중구 성안동 828-7 ,44426,"울산광역시 중구 함월7길 17, 1층 (성안동)",89.54,20160122,,,,,,01,영업\/정상,01,영업,409663.219091766    ,232737.006989892    ,20210409174142,경양식,070 75533240
61,4400,3690000,369000031201500003,09_30_14_P,U,2021-04-11 02:40:00,저수조청소업,서현클린환경,,울산광역시 중구 태화동 776-8 ,,울산광역시 중구 태화로 98-1 (태화동),,20151127,,,,,,01,영업\/정상,11,정상,407276.214967456    ,230545.093708675    ,20210409112026,,070-5103-9026
62,4467,3700000,3700000-101-2015-00212,07_24_04_P,U,2021-04-11 02:40:00,일반음식점,롯데시티 울산점 연회,680804,울산광역시 남구 달동 1248-1 ,44718,"울산광역시 남구 삼산로 204, 2층 (달동)",142.12,20150722,,,,,,01,영업\/정상,01,영업,411213.089121568    ,228919.268747025    ,20210409135329,기타,052 990 1260
63,4484,3700000,3700000-101-2015-00173,07_24_04_P,U,2021-04-11 02:40:00,일반음식점,롯데시티울산점,680804,울산광역시 남구 달동 1248-1 ,44718,울산광역시 남구 삼산로 204 (달동),990.88,20150622,,,,,,01,영업\/정상,01,영업,411213.089121568    ,228919.268747025    ,20210409135507,뷔페식,052 990 1260
64,4557,3690000,3690000-121-2015-00002,07_22_18_P,U,2021-04-11 02:40:00,제과점영업,(주)쿱스토어울산유곡점,681310,울산광역시 중구 유곡동 467-5 1층 ,44539,"울산광역시 중구 종가1길 8, 1층 (유곡동)",31.22,20150128,,,,,,01,영업\/정상,01,영업,407914.683145004    ,231276.893627757    ,20210409173948,제과점영업,052 245 6209
65,4558,3690000,3690000-134-2015-00002,07_22_03_P,U,2021-04-11 02:40:00,건강기능식품일반판매업,(주)쿱스토어울산유곡점,681310,울산광역시 중구 유곡동 467-5 1층 ,44539,"울산광역시 중구 종가1길 8, 1층 (유곡동)",2.00,20150128,,,,,,01,영업\/정상,01,영업,407914.683145004    ,231276.893627757    ,20210409174732,,052 245 6209
66,4582,3700000,3700000-101-2014-00395,07_24_04_P,U,2021-04-11 02:40:00,일반음식점,청춘한잔,680802,울산광역시 남구 달동 632-1 110호,44692,울산광역시 남구 신정로 75 (달동),37.00,20141217,,,,,,01,영업\/정상,01,영업,410387.020734383    ,228993.675393015    ,20210409164111,정종\/대포집\/소주방,
67,4668,3690000,3690000-101-2014-00095,07_24_04_P,U,2021-04-11 02:40:00,일반음식점,족발의장인(족장),681801,울산광역시 중구 남외동 416-26 1층 ,44491,"울산광역시 중구 곽남6길 7, 1층 (남외동)",43.20,20140619,,,,,,01,영업\/정상,01,영업,412101.20316149     ,232735.516734476    ,20210409091121,식육(숯불구이),
68,4836,3700000,PHMA220133700018021200002,01_01_01_P,U,2021-04-11 02:40:00,병원,의료법인 득명의료재단 씨엘요양병원,680842,"울산광역시 남구 야음동 789번지 117호 1~3, 6",44750,"울산광역시 남구 수암로128번길 7, 1~3, 6층 (야음동)",,20130701,,,,,,01,영업\/정상,13,영업중,410487.931007679    ,227727.864252344    ,20210409090554,요양병원(일반요양병원),052-242-1234
69,4895,3690000,3690000-134-2013-00013,07_22_03_P,U,2021-04-11 02:40:00,건강기능식품일반판매업,(주)쿱스토어울산남외점,681800,울산광역시 중구 남외동 511-10 ,44495,"울산광역시 중구 남외3길 10, 1층 (남외동)",.56,20130401,,,,,,01,영업\/정상,01,영업,413046.605867444    ,232055.392667177    ,20210409175818,,052 297 1090
70,4991,3710000,PHMA120123710033041100004,01_01_02_P,U,2021-04-11 02:40:00,의원,강남피부과의원,,울산광역시 동구 일산동 945,44056,"울산광역시 동구 방어진순환도로 652, 테라스파크 1동 3층 B301,B302호 (일산동)",,20120622,,,,,,01,영업\/정상,13,영업중,420356.274369757    ,224949.099099649    ,20210409124315,의원,052-236-5004
71,5108,3730000,373000003320110039,02_04_01_P,U,2021-04-11 02:40:00,가축사육업,삼광축산,689902,울산광역시 울주군 온양읍 삼광리 100 ,,울산광역시 울주군 온양읍 중고산길 56-4,,20110616,,,,,,01,영업\/정상,0000,정상,405764.950050009    ,217007.562977608    ,20210409162803,,
72,5231,3730000,3730000-101-2010-00172,07_24_04_P,U,2021-04-11 02:40:00,일반음식점,할튼,689841,"울산광역시 울주군 두동면 구미리 591-1 1동,2동 ",44915,"울산광역시 울주군 두동면 인보구미로 367-12 (1동,2동)","1,235.68",20100906,,,,,,01,영업\/정상,01,영업,399039.04005536     ,241968.131952553    ,20210409104340,식육(숯불구이),052 254 8830
73,5510,6310000,631000001200400297,09_30_08_P,U,2021-04-11 02:40:00,대기오염물질배출시설설치사업장,한국바스프(주) 울산화성공장,,울산광역시 남구 여천동 758-6 한국바스프(주)화성공장 758-6 (여천동),44781,울산광역시 남구 신여천로 27 (여천동),,20080619,,,,,,01,영업\/정상,01,영업,412726.134243282    ,226701.681021096    ,20210409182249,,0522782132
74,5526,3730000,3730000-206-2008-00015,09_30_04_P,I,2021-04-11 00:22:58,건물위생관리업,신보로드(주),,울산광역시 울주군 청량읍 상남리 286 ,44986,"울산광역시 울주군 청량읍 화창1길 42-52, 2층",116.80,20080418,,,,,,01,영업\/정상,01,영업,409820.534740639    ,222876.089758811    ,20210409171535,건물위생관리업,052 267 9008
75,5533,3690000,PHMA120083690018041100006,01_01_02_P,U,2021-04-11 02:40:00,의원,한양재활의학과의원,,울산광역시 중구 남외동 441번지 1호 동천빌딩(3층),44495,"울산광역시 중구 번영로 574 (남외동, 동천빌딩(3층))",,20080311,,,,,,01,영업\/정상,13,영업중,412509.987430349    ,232382.663773886    ,20210409104313,의원,052-286-5475
76,5579,3710000,2007371011502100001,09_28_05_P,I,2021-04-11 00:22:58,고압가스업,울산과학대학교,,울산광역시 동구 화정동 산 160-1 울산과학대학동부캠퍼스 ,44022,"울산광역시 동구 봉수로 101, 울산과학대학동부캠퍼스 (화정동)",,20071008,,,,,,01,영업\/정상,01,영업중,419126.487222941    ,224441.957553219    ,20210409092615,제조,
