fstvlNm,opar,fstvlStartDate,fstvlEndDate,fstvlCo,mnnst,auspcInstt,suprtInstt,phoneNumber,homepageUrl,relateInfo,rdnmadr,lnmadr,latitude,longitude,referenceDate,insttCode
찬란한 황금빛 사운드 금관악기의 향연,꽃바위문화관 3층 다목적공연장,2020-09-28,2020-09-28,클래식,울산광역시 동구청,꽃바위문화관,,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,,울산광역시 동구 문현3길 6,울산광역시 동구 방어동 1120-1,35.48705813,129.4112633,2021-01-26,3710000
모두 다 함께 신명나게 놀자,꽃바위문화관 3층 다목적공연장,2020-10-15,2020-10-15,퓨전국악,울산광역시 동구청,꽃바위문화관,,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,,울산광역시 동구 문현3길 6,울산광역시 동구 방어동 1120-1,35.48705813,129.4112633,2021-01-26,3710000
건반위 포핸즈의 아름다운 선율,꽃바위문화관 3층 다목적공연장,2020-10-29,2020-10-29,클래식,울산광역시 동구청,꽃바위문화관,,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,,울산광역시 동구 문현3길 6,울산광역시 동구 방어동 1120-1,35.48705813,129.4112633,2021-01-26,3710000
모두 다 함께 신명나게 놀자,꽃바위문화관 3층 다목적공연장,2020-10-15,2020-10-15,퓨전국악,울산광역시 동구청,꽃바위문화관,,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,,울산광역시 동구 문현3길 6,울산광역시 동구 방어동 1120-1,35.48705813,129.4112633,2020-10-15,6310000
건반위 포핸즈의 아름다운 선율,꽃바위문화관 3층 다목적공연장,2020-10-29,2020-10-29,클래식,울산광역시 동구청,꽃바위문화관,,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,,울산광역시 동구 문현3길 6,울산광역시 동구 방어동 1120-1,35.48705813,129.4112633,2020-10-15,6310000
감동과 즐거움을 선사하는 성악 앙상블,꽃바위문화관 3층 다목적공연장,2020-11-26,2020-11-26,성악,울산광역시 동구청,꽃바위문화관,,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,,울산광역시 동구 문현3길 6,울산광역시 동구 방어동 1120-1,35.48705813,129.4112633,2020-10-15,6310000
청소년 힐링 페스티벌,꽃바위문화관 3층 다목적공연장,2020-12-10,2020-12-10,크로스오버,울산광역시 동구청,꽃바위문화관,,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,,울산광역시 동구 문현3길 6,울산광역시 동구 방어동 1120-1,35.48705813,129.4112633,2020-10-15,6310000
매직스크린아트 가족극〈오버코트〉,꽃바위문화관 3층 다목적공연장,2020-12-16,2020-12-16,아동극,울산광역시 동구청,꽃바위문화관,,052-209-4330,http://www.donggu.ulsan.kr/edu/menu_06/03.jsp,,울산광역시 동구 문현3길 6,울산광역시 동구 방어동 1120-1,35.48705813,129.4112633,2020-10-15,6310000
울산옹기축제,울주군 외고산 옹기마을 일원,2020-11-06,2020-11-15,"찾아가는 옹기, 전국옹기가요제(온라인 및 드라이브 쓰루), 옹기TV방송국, 옹기축제 특별 주제관, 옹기 포토존 등",울산광역시 울주군,울산옹기축제추진위원회,"문화체육관광부, 울산광역시, 울산광역시의회, 울주군의회",052-227-4961,http://www.ulsanonggi.or.kr,,울산광역시 울주군 온양읍 외고산 3길 36,울산광역시 울주군 온양읍 고산리 501-18,35.435069,129.2795088,2020-10-15,6310000
울주세계산악영화제,영남알프스 복합웰컴센터 일원,2020-10-23,2020-10-27,"클라이밍, 모험과 탐험 등 7개 섹션으로 구성한 40개국 150편의 영화상영과 힐링트래킹, 클라이밍, 파쿠르, 영남알프스 VR 체험 등 다양한 참여행사와 공연ㆍ전시 행사 등을 통해 관람객에게 차별화된 볼거리를 제공",사단법인 울주세계산악영화제,사단법인 울주세계산악영화제,울산광역시 울주군의회,052-248-6451,http://www.umff.kr,,울산광역시 울주군 상북면 알프스온천5길 103-8,울산광역시 울주군 상북면 등억알프스리 517,35.55645417,129.0679842,2020-10-15,6310000
간절곶해맞이,간절곶공원,2020-12-31,2021-01-01,"해넘이 전야제, 해맞이행사",울주문화원+울산문화방송,울주군,울산광역시,052-204-0313,http://www.ulju.ulsan.kr/ulju,,울산광역시 울주군 서생면 간절곶1길 39-2,울산광역시 울주군 서생면 대송리 28-1,35.35897306,129.3602963,2020-10-15,6310000
