eventNm,opar,eventCo,eventStartDate,eventEndDate,eventStartTime,eventEndTime,chrgeInfo,mnnst,auspcInstt,phoneNumber,suprtInstt,seatNumber,admfee,entncAge,dscntInfo,atpn,homepageUrl,advantkInfo,prkplceYn,rdnmadr,lnmadr,latitude,longitude,referenceDate,insttCode
(책과 함께하는) 나도 유튜브 크리에이터,울주도서관 별관2층 글나래교실,스마트폰 활용 영상촬영법 소개 및 유튜브 활용,2020-05-16,2020-06-20,14:00~16:00,null,무료,울주도서관,울주도서관,,,,,,,,,, ,울산광역시 울주군 언양읍 언양로 109,,35.5584368238,129.1377316898,2020-06-08,6310000
작은나라어린이독서회,울주도서관다목적실,작은나라어린이독서회,2020-05-16,2020-05-16,14:00~16:00,null,무료,울주도서관,울주도서관,,,,,,,,,, ,울산광역시 울주군 언양읍 언양로 109,,35.5584368238,129.1377316898,2020-06-08,6310000
오케스트라 연주회,문화예술회관대공연장,클래식,2020-05-19,2020-05-19,16:00~17:30,null,무료,울산남구청,남구 문화체육과,052-226-5415,,,,,,,,, ,울산광역시 남구 번영로 200(달동),,35.5428985238,129.3270711177,2020-06-08,6310000
[대관공연] 구립교향악단 제71회 정기연주회,문화예술회관 대공연장,클래식,2020-05-19,2020-05-19,16:00~21:30,null,무료,문화예술회관,울산 남구 구립교향악단,052-226-5415,,,,,,,,, ,울산광역시 남구 번영로 200(달동),,35.5428985238,129.3270711177,2020-06-08,6310000
어린이 고고학,대곡박물관 관내외,체험학습,2020-05-19,2020-12-31,10:30~12:00,null,무료,대곡박물관,대곡박물관,052-229-4781,,,,,,,,, ,울산광역시 울주군 두동면 서하천전로 257,,35.6190980488,129.1691901645,2020-06-08,6310000
[대관전시] 울산대 조소 졸업작품전,문화예술회관 제4전시장,공예,2020-05-20,2020-05-25,10:00~19:00,null,무료,울산대학교,울산대 미술학부,,,,,,,,,, ,울산광역시 남구 대학로 93,,35.5418773464,129.2575820330,2020-06-08,6310000
사서와 함께 책읽기,울주도서관영유아실,사서가 선정한 그림책 읽어주기,2020-05-20,2020-05-20,11:00~11:30,null,무료,울주도서관,울주도서관,,,,,,,,,, ,울산광역시 울주군 언양읍 언양로 109,,35.5584368238,129.1377316898,2020-06-08,6310000
[대관공연] 전원경의 그림콘서트,문화예술회관 소공연장,콘서트,2020-05-21,2020-05-21,11:00~12:40,null,무료,문화예술회관,문화예술회관,052-275-9623,,,,,,,,, ,울산광역시 남구 번영로 200(달동),,35.5428985238,129.3270711177,2020-06-08,6310000
문화다양성주간 시민 간담회,문화공간 카바레볼테르(남구 신정동),시민·전문가 간담회,2020-05-21,2020-05-21,14:00~18:00,null,무료,울산문화재단,울산문화재단,052-259-7911,,,,,,,,, ,울산광역시 남구 중앙로 202,,35.5389297181,129.3128675469,2020-06-08,6310000
디딤돌독서회,중부도서관 독서문화실,성인 독서회,2020-05-21,2020-12-10,10:30~12:30,null,무료,울산중부도서관,울산중부도서관,052-210-6522,,,,,,,,, ,울산광역시 중구 시계탑거리 38,,35.5535951076,129.3215056326,2020-06-08,6310000
도심 내 전통시장 책수레 책나눔,중부도서관 독서문화실,시장상인들 대상으로 도서대출반납서비스,2020-05-21,2020-12-17,14:00~17:00,null,무료,울산중부도서관,울산중부도서관,052-210-6534,,,,,,,,, ,울산광역시 중구 시계탑거리 38,,35.5535951076,129.3215056326,2020-06-08,6310000
"[교향악단] 기획공연 「울산과 함께, 희망과 함께」",문화예술회관 대공연장,음악,2020-05-22,2020-05-22,20:00~21:00,null,유료,시립예술단,시립예술단,052-275-9623,,,,,,,,, ,울산광역시 남구 번영로 200(달동),,35.5428985238,129.3270711177,2020-06-08,6310000
문화다양성주간 캠페인,성남동 젊음의 거리 및 삼산동,캠페인,2020-05-22,2020-05-23,14:00~18:00,null,무료,울산문화재단,울산문화재단,052-259-7911,,,,,,,,, ,울산광역시 남구 중앙로 202,,35.5389297181,129.3128675469,2020-06-08,6310000
가족과 함께 떠나는 동화 여행,"울산도서관 2층 문화교실2, 4",재미있는 동화구연과 다양한 활동을 통해 유아의 발달을 도움,2020-05-23,2020-08-22,13:30~15:40,null,무료,울산도서관,울산도서관,052-229-6906,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
이중언어 교육 (부모-자녀상호작용),"울산도서관 2층 문화교실2, 4",세계 각국의 전통놀이를 활용한 부모-자녀 상호작용 놀이활동,2020-05-23,2020-08-22,13:30~15:40,null,무료,울산도서관,울산도서관,052-229-6906,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
나눔독서회,중부도서관 독서문화실,장애인 독서회,2020-05-23,2020-12-12,15:00~17:00,null,무료,울산중부도서관,울산중부도서관,052-210-6535,,,,,,,,, ,울산광역시 중구 시계탑거리 38,,35.5535951076,129.3215056326,2020-06-08,6310000
책사랑 중학생 독서회,울주도서관다목적실,책 읽고 독서토론,2020-05-23,2020-05-23,14:00~16:00,null,무료,울주도서관,울주도서관,,,,,,,,,, ,울산광역시 울주군 언양읍 언양로 109,,35.5584368238,129.1377316898,2020-06-08,6310000
알라딘 램프 속 울산박물관,울산박물관 전시실,초등 단체 교육,2020-05-25,2020-12-18,09:30~12:00,null,무료,울산박물관,울산박물관,052-229-4722,,,,,,,,, ,울산광역시 남구 두왕로 277,,35.527139,129.308691,2020-06-08,6310000
찾아가는 박물관교실,신청 학급,찾아가는 역사교육,2020-05-25,2020-12-18,08:40~10:10,null,무료,울산박물관,울산박물관,052-229-4722,,,,,,,,, ,울산광역시 남구 두왕로 277,,35.527139,129.308691,2020-06-08,6310000
"박물관, 박물관 사람들",울산박물관 세미나실,청소년 진로체험,2020-05-25,2020-12-18,09:30~12:00,null,무료,울산박물관,울산박물관,052-229-4722,,,,,,,,, ,울산광역시 남구 두왕로 277,,35.527139,129.308691,2020-06-08,6310000
어반스케치,울산도서관 2층 문화교실3,그림으로 나만의 기록 남기는 어반스케치 수업,2020-05-26,2020-07-28,10:00~12:00,null,무료,울산도서관,울산도서관,052-229-6906,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
책놀이로 떠나는 그림책 여행,울산도서관 2층 문화교실2,책놀이 부모교육,2020-05-26,2020-08-04,10:00~12:00,null,무료,울산도서관,울산도서관,052-229-6906,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
20세기 울산의 변화와 발전,울산도서관문화교실2,인문학 강의,2020-05-26,2020-06-09,14:00~16:00,null,무료,울산도서관,울산도서관,052-229-6903,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
[합창단] 기획공연 천원의 행복「희망을 전하는 음악편지」,문화예술회관 소공연장,음악,2020-05-26,2020-05-26,19:30~21:00,null,유료,시립예술단,시립예술단,052-275-9623,,,,,,,,, ,울산광역시 남구 번영로 200(달동),,35.5428985238,129.3270711177,2020-06-08,6310000
독서치료로 나를 만나는 여정,울산도서관 2층 문화교실3,책을 통해 소통법과 자기통찰력을 향상시키는 수업,2020-05-27,2020-07-15,10:00~12:00,null,무료,울산도서관,울산도서관,052-229-6906,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
그림의 마음을 읽는 시간,울산도서관 2층 문화교실1,화가들의 삶이 그려진 명화를 보며 삶에 대해 이야기,2020-05-27,2020-07-15,10:00~12:00,null,무료,울산도서관,울산도서관,052-229-6906,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
스마트폰 200 활용하기,울산도서관 2층 문화교실2,실생활에 필요한 스마트폰의 기능을 익혀서 생활에 적용,2020-05-27,2020-07-29,10:00~12:00,null,무료,울산도서관,울산도서관,052-229-6906,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
질문 톡 창의력 쑥 그림책 보드게임 하브루타,울산도서관 2층 동아리실1,그림책을 읽고 질문을 만들고 나누는 토론 활동,2020-05-27,2020-07-15,16:20~18:00,null,무료,울산도서관,울산도서관,052-229-6906,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
생활 속에서 시를 찾다,울산도서관문화교실2,인문학 강의,2020-05-27,2020-05-27,14:00~16:00,null,무료,울산도서관,울산도서관,052-229-6903,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
셜록 홈즈처럼 철학하기 Ⅲ,울산도서관문화교실1,인문학 강의,2020-05-27,2020-07-01,19:00~21:00,null,무료,울산도서관,울산도서관,052-229-6903,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
[대관전시] 울산대 동양화 졸업작품전,제2전시장,미술,2020-05-27,2020-06-01,10:00~19:00,null,무료,울산대학교,울산대 미술학부,,,,,,,,,, ,울산광역시 남구 대학로 93,,35.5418773464,129.2575820330,2020-06-08,6310000
2020년 태화강 유역 역사문화 알기 및 문화가 있는 날 행사,대곡박물관 관내외,강좌 및 답사,2020-05-27,2020-12-30,09:00~18:00,null,무료,대곡박물관,대곡박물관,052-229-4782,,,,,,,,, ,울산광역시 울주군 두동면 서하천전로 257,,35.6190980488,129.1691901645,2020-06-08,6310000
은빛독서회,중부도서관 독서문화실,어르신 독서회,2020-05-27,2020-12-02,14:00~16:00,null,무료,울산중부도서관,울산중부도서관,052-210-6534,,,,,,,,, ,울산광역시 중구 시계탑거리 38,,35.5535951076,129.3215056326,2020-06-08,6310000
문화가 있는 날,염포양정도서관 자료실,대출 정지 해제 및 대출 권수 두배로 확대,2020-05-27,2020-12-30,09:00~18:00,null,무료,염포양정도서관,염포양정도서관,052-241-7450,,,,,,,,, ,울산광역시 북구 염포로 685-1,,35.5318687541,129.3939226621,2020-06-08,6310000
문화가 있는 날,염포양정도서관 자료실,대출 정지 해제 및 대출 권수 두배로 확대,2020-05-27,2020-12-30,09:00~18:00,null,무료,염포양정도서관,염포양정도서관,052-241-7450,,,,,,,,, ,울산광역시 북구 염포로 685-1,,35.5318687541,129.3939226621,2020-06-08,6310000
두 배로 데이,울주도서관 각 자료실,책 두 배로(10권) 대출,2020-05-27,2020-05-27,09:00~18:00,null,무료,울주도서관,울주도서관,,,,,,,,,, ,울산광역시 울주군 언양읍 언양로 109,,35.5584368238,129.1377316898,2020-06-08,6310000
재미팡팡 동화구연,울주도서관영유아실,색동회 동화구연,2020-05-27,2020-05-27,10:30~11:00,null,무료,울주도서관,울주도서관,,,,,,,,,, ,울산광역시 울주군 언양읍 언양로 109,,35.5584368238,129.1377316898,2020-06-08,6310000
"엄마, 나 책이랑 놀래요",울산도서관 2층 동아리실1,그림책을 소재로 다양한 영역에 걸쳐 통합활동을 하는 책놀이 수업,2020-05-28,2020-07-16,10:00~11:45,null,무료,울산도서관,울산도서관,052-229-6906,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
그림책 놀다보니 생각이 쑥,울산도서관 2층 동아리실1,그림책을 다양한 방식으로 살펴보고 자유롭게 창작,2020-05-28,2020-07-16,16:20~18:00,null,무료,울산도서관,울산도서관,052-229-6906,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
영화로 문학읽기 Ⅱ,울산도서관종합영상실,인문학 강의,2020-05-28,2020-06-18,14:00~16:00,null,무료,울산도서관,울산도서관,052-229-6903,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
자운영 성인독서회,울주도서관별관2층 글나래교실,책 읽고 독서토론,2020-05-28,2020-05-28,10:00~12:00,null,무료,울주도서관,울주도서관,,,,,,,,,, ,울산광역시 울주군 언양읍 언양로 109,,35.5584368238,129.1377316898,2020-06-08,6310000
패턴을 외우지 않아도 되는 재미있는 회화/영문법,울산도서관 2층 문화교실2,원리로 영어를 접근하여 쉽게 영어를 배울 수 있는 강의,2020-05-29,2020-07-31,10:00~12:00,null,무료,울산도서관,울산도서관,052-229-6906,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
