addr,clCd,clCdNm,drTotCnt,estbDd,gdrCnt,hospUrl,intnCnt,postNo,resdntCnt,sdrCnt,sgguCd,sgguCdNm,sidoCd,sidoCdNm,telno,XPos,YPos,yadmNm,ykiho
울산광역시 남구 문수로457번길 5 (신정동),21,병원,3,20120702,0,http://www.infotel.co.kr/kunbitnp,0,44657,0,3,260001,울산남구,260000,울산,052-272-2505,129.3031250,35.5334250,큰빛병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ3MiQzNjE4MzIjNjEjJDEjJDgjJDgz
울산광역시 남구 삼산로 139 (달동),21,병원,10,20071011,0,,0,44694,0,10,260001,울산남구,260000,울산,052-708-1111,129.3223953,35.5364418,하나이비인후과병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5OSQzNjE4MzIjODEjJDEjJDIjJDgz
울산광역시 남구 번영로 92 (달동),21,병원,3,20050701,0,http://gs-uro.co.kr,0,44721,0,3,260001,울산남구,260000,울산,052-269-0975,129.3299588,35.5338316,항사랑병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ5MiQyNjE0ODEjNDEjJDEjJDgjJDgz
울산광역시 울주군 범서읍 천상중앙길 80 (),21,병원,3,20121205,1,,0,44928,0,2,260100,울산울주군,260000,울산,052-211-8448,129.2277417,35.5630792,햇살아동병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ4MiQzNjEyMjIjNjEjJDEjJDQjJDgz
울산광역시 북구 염포로 353 (양정동),28,요양병원,5,20161111,2,,0,44257,0,3,260004,울산북구,260000,울산,052-716-1020,129.3780269,35.5593556,BB요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQyIyQ1IyQwMCQzNjE4MzIjODEjJDEjJDYjJDgz
울산광역시 울주군 서생면 용리길 165-11 (),28,요양병원,1,20150506,0,,0,45014,0,1,260100,울산울주군,260000,울산,052-246-0002,129.3226471,35.3667274,간절곶자연요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQxMyQzNjE0ODEjNDEjJDEjJDgjJDgz
울산광역시 남구 중앙로 187-1 (신정동),28,요양병원,2,20110826,1,,0,44676,0,1,260001,울산남구,260000,울산,052-260-3525,129.3127437,35.5377468,강남요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQxMyQyNjEyMjIjODEjJDEjJDYjJDgz
울산광역시 울주군 온양읍 온양로 3 (),28,요양병원,2,20080401,1,http://www.krhospital.co.kr,0,44973,0,1,260100,울산울주군,260000,울산,052-239-0669,129.2746865,35.4160046,고려요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ4OSQyNjE0ODEjNjEjJDEjJDAjJDgz
울산광역시 남구 두왕로 335 (신정동),28,요양병원,3,20160614,3,,0,44667,0,0,260001,울산남구,260000,울산,052-266-5400,129.3069606,35.5313559,구인의료재단법인 오복요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQzNjE0ODEjNzEjJDEjJDgjJDgz
울산광역시 남구 번영로 15 (야음동),28,요양병원,6,20100609,2,,0,44735,0,4,260001,울산남구,260000,울산,052-226-0100,129.3298454,35.5270829,국민요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3MiQzNjEyMjIjNTEjJDEjJDIjJDgz
"울산광역시 남구 돋질로 277 지하1층,지상1-8층 (삼산동)",28,요양병원,5,20200630,3,,0,44700,0,2,260001,울산남구,260000,울산,052-712-1000,,,노블레스요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQwMyQyNjEyMjIjNjEjJDEjJDAjJDgz
울산광역시 남구 봉월로 161 2-5층 (신정동),28,요양병원,3,20140320,2,,0,44623,0,1,260001,울산남구,260000,울산,052-261-5567,129.3071380,35.5468080,따사랑요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ5MiQzNjE0ODEjNzEjJDEjJDgjJDgz
"울산광역시 동구 중진길 60 (방어동, 세광중공업)",28,요양병원,6,20160527,3,,0,44109,0,3,260002,울산동구,260000,울산,052-911-9988,129.4246231,35.4827341,방어진마린요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQyNjEyMjIjNDEjJDEjJDgjJDgz
"울산광역시 울주군 범서읍 구영로 94 엠프라자 3,7,8층",28,요양병원,5,20140227,1,,0,44924,0,4,260100,울산울주군,260000,울산,052-211-9393,129.2412760,35.5741416,범서사랑요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQzNjE0ODEjODEjJDEjJDYjJDgz
울산광역시 울주군 온양읍 덕남로 233 (),28,요양병원,5,19920428,1,,0,44975,0,4,260100,울산울주군,260000,울산,052-231-8200,129.2984214,35.4220223,보람요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5MiQyNjE4MzIjNjEjJDEjJDQjJDgz
울산광역시 북구 제내1길 6 (신천동),28,요양병원,4,20200601,2,,0,44224,0,2,260004,울산북구,260000,울산,052-268-7000,129.3517503,35.6314515,복음요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQwMyQyNjE0ODEjODEjJDEjJDIjJDgz
울산광역시 남구 북부순환도로 58 1~7층 (무거동),28,요양병원,7,20160905,3,,0,44628,0,4,260001,울산남구,260000,울산,052-277-3001,129.2698338,35.5522972,삼호요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ5OSQ0NjEwMDIjNDEjJDEjJDgjJDgz
"울산광역시 동구 진성8길 94 (전하동,대덕타워빌딩 4,5,6,7,8,층)",28,요양병원,6,20100311,4,http://www.sangnocsu.com/,0,44044,0,2,260002,울산동구,260000,울산,052-232-0100,129.4297592,35.5093952,상록수요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3MiQyNjEyMjIjNDEjJDEjJDQjJDgz
울산광역시 남구 돋질로 84 (달동),28,요양병원,4,20070704,2,http://www.새생명요양병원.kr,0,44691,0,2,260001,울산남구,260000,울산,052-276-9789,129.3150270,35.5383015,새생명요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQxIyQzIyQwMyQyNjE4MzIjNTEjJDEjJDYjJDgz
울산광역시 남구 돋질로 293 (삼산동),28,요양병원,4,20090108,1,http://,0,44698,0,3,260001,울산남구,260000,울산,052-261-5033,129.3368608,35.5445030,성모요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ5OSQzNjEwMDIjNTEjJDEjJDIjJDgz
"울산광역시 북구 호계로 296 (호계동, 세나병원)",28,요양병원,6,20160523,1,,0,44227,0,5,260004,울산북구,260000,울산,052-290-2000,129.3514338,35.6295097,세나요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQyNjEwMDIjNTEjJDEjJDIjJDgz
"울산광역시 남구 월평로 3 1~3,5~10층 (신정동)",28,요양병원,3,20130619,2,,0,44670,0,1,260001,울산남구,260000,울산,052-256-7770,129.3061010,35.5406800,양지요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQzNjEyMjIjNTEjJDEjJDYjJDgz
울산광역시 울주군 상북면 삽재로 400 (),28,요양병원,2,20060102,1,,0,44901,0,1,260100,울산울주군,260000,울산,052-264-6100,129.0512236,35.6360092,언양아하브요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQzNjEwMDIjNzEjJDEjJDgjJDgz
울산광역시 울주군 삼남면 반구대로 785 (),28,요양병원,5,19990705,1,,0,44947,0,4,260100,울산울주군,260000,울산,052-262-5200,129.1255108,35.5604497,언양요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQzNjE4MzIjNDEjJDEjJDgjJDgz
울산광역시 울주군 온양읍 덕남로 243 (),28,요양병원,4,20040531,2,,0,44975,0,2,260100,울산울주군,260000,울산,052-231-7900,129.2976444,35.4219948,울산광역시립노인병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ4MiQ0NjEwMDIjNzEjJDEjJDgjJDgz
울산광역시 남구 수암로 8  (신정동),28,요양병원,2,20100722,1,,0,44740,0,1,260001,울산남구,260000,울산,052-260-5577,129.3089097,35.5317609,울산노인전문병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ3OSQyNjE0ODEjNTEjJDEjJDYjJDgz
울산광역시 울주군 범서읍 천상5길 10-5 (연세요양병원),28,요양병원,6,20160519,2,,0,44928,0,4,260100,울산울주군,260000,울산,052-248-8900,129.2239829,35.5625220,울산연세요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ5OSQyNjE0ODEjNjEjJDEjJDAjJDgz
"울산광역시 남구 돋질로 146 (달동, 달동길메리요양병원)",28,요양병원,7,20170106,2,,0,44694,0,5,260001,울산남구,260000,울산,052-996-0030,129.3216860,35.5401687,의)우아의료재단 달동길메리요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ2MiQyNjE0ODEjODEjJDEjJDYjJDgz
"울산광역시 남구 수암로128번길 7 1~3, 6층 (야음동)",28,요양병원,6,20150226,3,,0,44750,0,3,260001,울산남구,260000,울산,052-242-1234,129.3214196,35.5270497,의료법인 득명의료재단 씨엘요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQxMyQyNjEwMDIjNzEjJDEjJDgjJDgz
"울산광역시 중구 함월20길 89 (성안동, 위너스자연요양병원)",28,요양병원,2,20120723,2,http://www.위너스02.com,0,44416,0,0,260003,울산중구,260000,울산,052-245-0002,129.3235766,35.5815069,의료법인 성덕의료재단 위너스자연요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ5OSQzNjEwMDIjODEjJDEjJDYjJDgz
울산광역시 남구 대학로 148 2~7층 (무거동),28,요양병원,6,20140717,2,,0,44611,0,4,260001,울산남구,260000,울산,052-223-8866,129.2626935,35.5477362,의료법인 세연의료재단 무거연세요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQwMyQyNjEwMDIjNDEjJDEjJDQjJDgz
울산광역시 북구 아진로 78 (상안동),28,요양병원,4,20130206,2,,0,44208,0,2,260004,울산북구,260000,울산,052-282-7002,129.3403155,35.6304122,의료법인 옐림의료재단 농소요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz
울산광역시 중구 서원1길 106 (반구동),28,요양병원,5,20110901,2,http://www.gilmary.co.kr,0,44513,0,3,260003,울산중구,260000,울산,296-0030,129.3396439,35.5588628,의료법인 우아의료재단 길메리요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQxMyQyNjE4MzIjNzEjJDEjJDgjJDgz
울산광역시 동구 방어진순환도로 693-1 (일산동),28,요양병원,4,20180625,3,,0,44053,0,1,260002,울산동구,260000,울산,052-252-7500,129.4291107,35.5037002,의료법인 정흡의료재단 효림요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3MiQ0NjE0ODEjNDEjJDEjJDgjJDgz
울산광역시 중구 내황4길 11 (반구동),28,요양병원,8,20140912,2,,0,44505,0,6,260003,울산중구,260000,울산,052-293-2000,129.3416795,35.5527566,의료법인 청남의료재단  세민에스요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQwMyQzNjEyMjIjNDEjJDEjJDgjJDgz
울산광역시 남구 봉월로 155 4~6층 (신정동),28,요양병원,5,20131210,2,,0,44623,0,3,260001,울산남구,260000,울산,052-950-7500,129.3070393,35.5463428,의료법인 청산의료재단 효원요양병원,JDQ4MTYyMiM4MSMkMSMkNCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4MiQ0NjE0ODEjNTEjJDEjJDIjJDgz
